Difficulty,Distance,elevation_gain,route_type,hiking,views,nature trips,walking,birding,wild flowers,forest,wildlife,trail running,dogs on leash,kid friendly,mountain biking,lake,dog friendly,river,horseback riding,no dogs,camping,snowshoeing,backpacking,waterfall,fishing,off road driving,cross country skiing,scenic driving,rock climbing,road biking,wheelchair friendly,skiing,historic site,cave,city walk,paddle sports,hot springs,rails trails,beach
MODERATE,3.4,961,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,6.3,1397,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,7.7,2847,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,8.7,1860,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,5.1,885,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
HARD,6.5,1804,Out & Back,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,3.8,688,Out & Back,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,6.7,1200,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,7.9,2519,Out & Back,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,3.1,984,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,0.7,49,Loop,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,3.9,1062,Out & Back,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no
MODERATE,7.7,3562,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no
MODERATE,6.2,1945,Out & Back,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,5.7,2798,Loop,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,11.0,2529,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,6.7,1473,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
HARD,7.5,2516,Out & Back,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,6.0,1712,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,5.8,1181,Out & Back,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,2.5,675,Out & Back,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.5,357,Loop,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,6.1,1404,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.6,895,Out & Back,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,5.4,921,Loop,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,5.6,1400,Out & Back,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,6.6,1581,Loop,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,6.4,1702,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,2.4,803,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no
MODERATE,5.8,1289,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,3.0,321,Loop,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.0,961,Out & Back,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.7,472,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,3.6,846,Out & Back,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,3.3,396,Out & Back,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,5.5,600,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.8,820,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
HARD,7.3,1761,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,2.0,452,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,7.1,1942,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,15.7,5114,Out & Back,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
MODERATE,7.1,1453,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,10.3,4442,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
MODERATE,3.2,620,Loop,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,7.1,2421,Loop,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,6.0,1309,Loop,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,2.3,761,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,11.1,1952,Loop,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,8.3,1125,Loop,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
HARD,3.2,1856,Out & Back,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
MODERATE,3.7,1289,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,4.9,1502,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
HARD,4.7,1450,Out & Back,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no
HARD,2.8,1105,Out & Back,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.0,754,Loop,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
MODERATE,3.0,554,Loop,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.5,1092,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
MODERATE,3.6,1240,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
EASY,4.0,593,Loop,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
HARD,15.0,3533,Loop,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.3,393,Loop,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,6.0,994,Out & Back,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,5.9,1463,Loop,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no
MODERATE,12.4,2257,Out & Back,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,6.0,1013,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,7.4,1538,Loop,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,12.4,688,Out & Back,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,2.2,387,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,0.7,98,Loop,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,6.5,889,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.7,1243,Loop,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,6.0,744,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,4.3,564,Out & Back,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.2,223,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
HARD,16.7,2791,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
EASY,3.5,318,Out & Back,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,2.1,895,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.7,200,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
MODERATE,4.2,1082,Loop,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,8.2,2870,Out & Back,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
HARD,6.4,1742,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,3.7,416,Loop,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,8.9,2680,Out & Back,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,7.2,1581,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,14.6,2280,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,9.2,2375,Out & Back,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,1.2,419,Out & Back,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,0.1,6,Out & Back,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,7.4,675,Out & Back,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,7.9,1912,Out & Back,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,5.8,1702,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,3.3,2296,Out & Back,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.4,2011,Loop,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
MODERATE,10.1,2037,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,7.6,2811,Loop,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,3.6,1197,Loop,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,3.2,1463,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,0.8,32,Loop,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
MODERATE,2.5,551,Out & Back,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,3.5,1729,Loop,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
EASY,2.3,324,Loop,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,9.3,2162,Loop,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HARD,3.9,1374,Out & Back,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,6.3,1689,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
MODERATE,4.6,1013,Out & Back,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
